title,url,year,month,day
Burning Man Festival,http://www.google.com/logos/1998/googleburn.jpg,1998,8,30
Google Beta,http://www.google.com/logos/1998/googlebeta.jpg,1998,10,29
Thanksgiving 1998,http://www.google.com/logos/1998/turkeylogo.jpg,1998,11,26
Halloween 1999,http://www.google.com/logos/1999/googlepump.gif,1999,10,31
'Uncle Sam' Search #2,http://www.google.com/logos/1999/unclesam.gif,1999,11,30
'Uncle Sam' Search #1,http://www.google.com/logos/1999/unclesam2.gif,1999,11,30
Thanksgiving 1999,http://www.google.com/logos/1999/turkey_home2.gif,1999,11,23
Happy Holidays from Google 1999,http://www.google.com/logos/1999/snowmanC.gif,1999,12,25
Happy New Year 2000!,http://www.google.com/logos/2000/logo_newyear.gif,2000,1,1
Valentine's Day 2000,http://www.google.com/logos/2000/valentine.gif,2000,2,14
Groundhog's Day 2000,http://www.google.com/logos/2000/groundhog.gif,2000,2,2
St. Patrick's Day 2000,http://www.google.com/logos/2000/stpattys.gif,2000,3,17
Happy Easter 2000,http://www.google.com/logos/2000/easter_logo.jpg,2000,4,23
Mother's Day 2000,http://www.google.com/logos/2000/moms2000.gif,2000,5,14
Google Aliens 2000 - 5,http://www.google.com/logos/2000/doodle_alien5.jpg,2000,5,5
Google Aliens 2000 - 4,http://www.google.com/logos/2000/doodle_alien4.jpg,2000,5,4
Google Aliens 2000 - 3,http://www.google.com/logos/2000/doodle_alien3.gif,2000,5,3
Google Aliens 2000 - 2,http://www.google.com/logos/2000/doodle_alien2.gif,2000,5,2
Google Aliens 2000 - 1,http://www.google.com/logos/2000/doodle_alien1.gif,2000,5,1
Father's Day 2000,http://www.google.com/logos/2000/Title_Fathers.gif,2000,6,18
Bastille Day 2000,http://www.google.com/logos/2000/Title_Bastille.gif,2000,7,14
4th of July 2000 - 4,http://www.google.com/logos/2000/doodle2_fourth4.gif,2000,7,4
4th of July 2000 - 3,http://www.google.com/logos/2000/doodle2_fourth3.jpg,2000,7,3
4th of July 2000 - 2,http://www.google.com/logos/2000/doodle2_fourth2.gif,2000,7,2
4th of July 2000 - 1,http://www.google.com/logos/2000/doodle2_fourth1.gif,2000,7,1
2000 Summer Olympic Games in Sydney - Closing Ceremony,http://www.google.com/logos/2000/olympics_doodle11.gif,2000,9,25
2000 Summer Olympic Games in Sydney - Basketball,http://www.google.com/logos/2000/olympics_doodle10.gif,2000,9,24
2000 Summer Olympic Games in Sydney - Soccer,http://www.google.com/logos/2000/olympics_doodle9.gif,2000,9,23
